participant_id,participant_longitude,participant_latitude,participant_zip_code,participant_city,participant_state,age,gender,hispanic_or_latino,race,race_self_identify_text,education_level,languages_home,languages_home_other,last_flood_experience,flood_preparation_actions,flood_response_actions,flood_map_experience,flood_map_experience_other,selected_folder,selected_image,image_longitude,image_latitude,image_zip_code,image_city,image_state,flood_risk_severity,flood_frequency,flood_risk_understanding,confidence_in_map,likely_to_buy_property,likely_to_rent_property,likely_to_buy_insurance,likely_to_take_preventive_actions,use_flood_maps_frequency,ease_of_interpretation,additional_comments
145,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Moved to a shelter or safe location,Assisted neighbors or community members,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_102,-90.0701664,30.353864,70448,Mandeville,Louisiana,Moderate,3,Very well,Slightly confident,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Somewhat difficult,nice
146,-79.0425,43.1139,75001,Addison,Texas,45 to 54   ,Female,Yes,White ,,Bachelor’s degree (4-year college)  ,"English ,French ",,2022,Evacuated to a safer location before the flood,Evacuated from the area,"Yes, personally (e.g., for personal interest or home planning) ",,google_maps,location_159,-79.143191,34.2300733,29581,Nichols,South Carolina,Very Low,6,Very well,Somewhat confident,Neither likely nor unlikely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Rarely,Somewhat easy,
146,-79.0425,43.1139,75001,Addison,Texas,45 to 54   ,Female,Yes,White ,,Bachelor’s degree (4-year college)  ,"English ,French ",,2022,Evacuated to a safer location before the flood,Evacuated from the area,"Yes, personally (e.g., for personal interest or home planning) ",,google_maps,location_100,-95.8908807,29.7677954,77423,Brookshire,Texas,High,6,Very well,Slightly confident,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat unlikely,Rarely,Neither easy nor difficult,
147,-77.4917,39.0395,46060,Noblesville,Indiana,25 to 34   ,Male,Yes,"Asian ,White ",,Bachelor’s degree (4-year college)  ,English ,,2013,"Secured important documents and valuables,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_223,-91.657588,41.960813,52404,Cedar Rapids,Iowa,Low,2020,Very well,Slightly confident,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat easy,
147,-77.4917,39.0395,46060,Noblesville,Indiana,25 to 34   ,Male,Yes,"Asian ,White ",,Bachelor’s degree (4-year college)  ,English ,,2013,"Secured important documents and valuables,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_160,-85.8441811,41.5889358,46526,Goshen,Indiana,Low,2020,Moderately well,Slightly confident,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Often,Somewhat easy,
148,-79.0425,43.1139,83714,Boise,Idaho,25 to 34   ,Female,No,"Asian ,White ",,Doctoral or other professional degree  ,"English ,Vietnamese ",,2022,"Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Did not take any action to respond","Yes, academically (e.g., as part of a course or research project) ",,fema,location_73,-76.886333,40.254298,17126,Harrisburg,Pennsylvania,Moderate,high,Moderately well,Slightly confident,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Sometimes,Neither easy nor difficult,
148,-79.0425,43.1139,83714,Boise,Idaho,25 to 34   ,Female,No,"Asian ,White ",,Doctoral or other professional degree  ,"English ,Vietnamese ",,2022,"Installed flood barriers or sandbags,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Did not take any action to respond","Yes, academically (e.g., as part of a course or research project) ",,fema,location_45,-95.605619,29.764842,77079,Houston,Texas,High,high,Very well,Somewhat confident,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat unlikely,Very likely,Rarely,Somewhat easy,nothing
149,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Moved belongings to higher ground,Created an emergency plan with family or household members","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_260,-81.8706596,26.643741,33901,Fort Myers,Florida,Very High,one year,Moderately well,Extremely confident,Somewhat likely,Very likely,Neither likely nor unlikely,Very likely,Often,Neither easy nor difficult,good
149,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Stocked up on food, water, and emergency supplies,Moved belongings to higher ground,Created an emergency plan with family or household members","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_181,-88.0816731,30.6746659,36606,Mobile,Alabama,Very High,two year,Very well,Extremely confident,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Very likely,Often,Neither easy nor difficult,good
150,-77.3672,38.9841,97477,Springfield,Oregon,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2023,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_119,-90.3400325,38.9252633,63373,Portage Des Sioux,Missouri,Low,once every 4 years,Moderately well,Slightly confident,Somewhat likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Sometimes,Somewhat easy,
150,-77.3672,38.9841,97477,Springfield,Oregon,35 to 44   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2023,"Stocked up on food, water, and emergency supplies,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_148,-117.3719146,33.9734444,92522,Riverside,California,Low,once every 3 years,Very well,Somewhat confident,Somewhat likely,Very unlikely,Neither likely nor unlikely,Somewhat unlikely,Often,Neither easy nor difficult,
151,-97.822,37.751,90003,Los Angeles,California,25 to 34   ,Female,Yes,American Indian or Alaska Native  ,,Bachelor’s degree (4-year college)  ,English ,,2021,"Stocked up on food, water, and emergency supplies",Evacuated from the area,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_47,-73.946792,40.702772,11206, Brooklyn,New York,Very Low,2,Not well at all,Extremely confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely difficult,NO
151,-97.822,37.751,90003,Los Angeles,California,25 to 34   ,Female,Yes,American Indian or Alaska Native  ,,Bachelor’s degree (4-year college)  ,English ,,2021,"Stocked up on food, water, and emergency supplies",Evacuated from the area,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_153,-122.50922,37.8711566,94965,Marin City,California,Very Low,2,Not well at all,Extremely confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely difficult,NO
152,-97.822,37.751,75001,Addison,Texas,25 to 34   ,Female,Yes,White ,,Bachelor’s degree (4-year college)  ,English ,,2015,"Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_202,-77.8891489,34.0435143,28428,Carolina Beach,North Carolina,Very High,2,Very well,Very confident,Very likely,Somewhat likely,Very likely,Very likely,Sometimes,Extremely easy,NOTHING
152,-97.822,37.751,75001,Addison,Texas,25 to 34   ,Female,Yes,White ,,Bachelor’s degree (4-year college)  ,English ,,2015,"Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,noaa,location_158,-82.7602179,28.1554439,34689,Tarpon Springs,Florida,Very High,2,Extremely well,Slightly confident,Somewhat likely,Very likely,Somewhat likely,Very likely,Sometimes,Extremely easy,NOTHING
153,-97.822,37.751,90011,Los Angeles,California,25 to 34   ,Male,Yes,White ,,Bachelor’s degree (4-year college)  ,English ,,2018,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members","Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_245,-80.07373043,26.50511511,33435,Boynton Beach,Florida,Moderate,2,Very well,Somewhat confident,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Extremely easy,good
153,-97.822,37.751,90011,Los Angeles,California,25 to 34   ,Male,Yes,White ,,Bachelor’s degree (4-year college)  ,English ,,2018,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members","Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply","Yes, academically (e.g., as part of a course or research project) ",,google_maps,location_257,-79.952416,32.791202,29403,Charlestone,Southy carolina,Moderate,1,Slightly well,Very confident,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat easy,good
154,-97.822,37.751,96801,Honolulu,Hawaii,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2010,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, personally (e.g., for personal interest or home planning) ",,noaa,location_50,-76.293882,36.855453,23510,Norfolk,Virginia,High,3,Moderately well,Slightly confident,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,Often,Neither easy nor difficult,It shows it is dangerous place to live.
154,-97.822,37.751,96801,Honolulu,Hawaii,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2010,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply,Stayed inside and monitored flood updates,Began cleanup and damage assessment immediately,Relocated valuables to safer areas","Yes, personally (e.g., for personal interest or home planning) ",,noaa,location_146,-91.6689805,41.9649264,52404,Cedar Rapids,Iowa,Moderate,3,Not well at all,Slightly confident,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Often,Somewhat easy,It is not a clear map.
155,-97.822,37.751,13147,Scipio Center,New York,25 to 34   ,Male,Yes,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_182,-93.7274595,30.0932102,77630,Orange,Texas,Low,once a year,Very well,Very confident,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Often,Somewhat easy,informative map
155,-97.822,37.751,13147,Scipio Center,New York,25 to 34   ,Male,Yes,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_197,-83.229017,42.4100396,48219,Detroit,Michigan,High,once a year,Moderately well,Very confident,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Often,Somewhat easy,good and informative map
156,-97.822,37.751,75002,Allen,Texas,35 to 44   ,Male,Yes,White ,,Master’s degree  ,English ,,2018,Monitored weather reports and flood warnings,Stayed inside and monitored flood updates,"Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_181,-88.0816731,30.6746659,36606,Mobile,Alabama,High,2,Moderately well,Somewhat confident,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Neither easy nor difficult,no comments
156,-97.822,37.751,75002,Allen,Texas,35 to 44   ,Male,Yes,White ,,Master’s degree  ,English ,,2018,Monitored weather reports and flood warnings,Stayed inside and monitored flood updates,"Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_255,-82.209285,27.094389,34291, North Port,Florida,High,2,Moderately well,Somewhat confident,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Neither easy nor difficult,no comments
157,-97.822,37.751,10001,New York City,New York,18 to 24   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_46,-95.262427,29.846037,77028,Houston,Texas,Very High,every year,Extremely well,Very confident,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Often,Somewhat difficult,good
157,-97.822,37.751,10001,New York City,New York,18 to 24   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Contacted emergency services or authorities,Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_187,-90.1051713,30.0270958,70124,New Orleans,Louisiana,High,every year,Extremely well,Very confident,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Often,Somewhat difficult,good
158,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Moved belongings to higher ground,Did not take any action to prepare","Moved to a shelter or safe location,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_73,-76.886333,40.254298,17126,Harrisburg,Pennsylvania,Moderate,1,Slightly well,Very confident,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat difficult,nice
158,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Moved belongings to higher ground,Did not take any action to prepare","Moved to a shelter or safe location,Began cleanup and damage assessment immediately","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_67,-85.759443,38.258727,40202,Louisville,Kentucky,Moderate,1,Moderately well,Very confident,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Sometimes,Somewhat difficult,nice
159,-97.822,37.751,90003,Los Angeles,California,25 to 34   ,Female,Yes,American Indian or Alaska Native  ,,Master’s degree  ,English ,,2010,"Stocked up on food, water, and emergency supplies",Evacuated from the area,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_6,-74.96396,39.155733,8243,Sea Isle,New Jersey,Very Low,2,Not well at all,Extremely confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely difficult,NO
159,-97.822,37.751,90003,Los Angeles,California,25 to 34   ,Female,Yes,American Indian or Alaska Native  ,,Master’s degree  ,English ,,2010,"Stocked up on food, water, and emergency supplies",Evacuated from the area,"Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_246,-74.65286849,40.55965436,8807,Bridgewater,New Jersey,Very Low,2,Not well at all,Extremely confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely difficult,no
160,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Secured important documents and valuables,Installed flood barriers or sandbags","Moved to a shelter or safe location,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_252,-76.304171,36.896899,23508,Norfolk,Virginia,High,1,Moderately well,Slightly confident,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Sometimes,Neither easy nor difficult,3
160,-97.822,37.751,20120,Centreville,Virginia,25 to 34   ,Male,Yes,Asian ,,Bachelor’s degree (4-year college)  ,English ,,2023,"Secured important documents and valuables,Installed flood barriers or sandbags","Moved to a shelter or safe location,Stayed inside and monitored flood updates","Yes, academically (e.g., as part of a course or research project) ",,historical_images,location_54,-84.2471229,43.613231,48667,Midland,Michigan,Moderate,2,Very well,Somewhat confident,Somewhat likely,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,Often,Somewhat difficult,good
161,-97.822,37.751,90011,Los Angeles,California,35 to 44   ,Male,Yes,"American Indian or Alaska Native  ,Asian ,Black or African American  ,Middle Eastern or Noth African ,Native Hawaiian or other Pacific Islander  ,White ,Prefer to self-identify:",,Doctoral or other professional degree  ,"English ,Spanish ,Chinese (Mandarin or Cantonese) ,Tagalog ,Vietnamese ,French ,Korean ,Arabic ,Russian ,Other (please specify):",,2010,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare,Other (please specify)","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_16,-90.340302,38.924242,63373,Portage de Sioux,Missouri,Very High,good,Extremely well,Extremely confident,Very likely,Very likely,Very likely,Very likely,Sometimes,Extremely easy,good
161,-97.822,37.751,90011,Los Angeles,California,35 to 44   ,Male,Yes,"American Indian or Alaska Native  ,Asian ,Black or African American  ,Middle Eastern or Noth African ,Native Hawaiian or other Pacific Islander  ,White ,Prefer to self-identify:",,Doctoral or other professional degree  ,"English ,Spanish ,Chinese (Mandarin or Cantonese) ,Tagalog ,Vietnamese ,French ,Korean ,Arabic ,Russian ,Other (please specify):",,2010,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags,Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood,Did not take any action to prepare,Other (please specify)","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location,Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_97,-90.4866796,41.5146293,61265,Moline,Illinois,Very High,good,Extremely well,Extremely confident,Very likely,Very likely,Very likely,Very likely,Sometimes,Extremely easy,good
162,-97.822,37.751,75092,Sherman,Texas,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Moved belongings to higher ground,Created an emergency plan with family or household members,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_45,-95.605619,29.764842,77079,Houston,Texas,Moderate,1 year,Very well,Very confident,Very likely,Somewhat likely,Very likely,Somewhat likely,Always,Somewhat difficult,
162,-97.822,37.751,75092,Sherman,Texas,25 to 34   ,Female,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2022,"Moved belongings to higher ground,Created an emergency plan with family or household members,Did not take any action to prepare","Evacuated from the area,Contacted emergency services or authorities,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_78,-79.9283937,32.7807239,29401,Charleston,South Carolina,Moderate,2 years,Very well,Very confident,Somewhat likely,Neither likely nor unlikely,Very likely,Somewhat likely,Sometimes,Somewhat difficult,
163,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2022,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables","Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_188,-88.9002038,30.411848,39530,Biloxi,Mississippi,Very Low,1 years,Not well at all,Extremely confident,Very likely,Somewhat likely,Very likely,Very likely,Always,Somewhat difficult,good
163,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2022,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables","Assisted neighbors or community members,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,historical_images,location_29,-77.89528,34.031137,28428,Carolina Beach,North Carolina,Very High,1 years,Not well at all,Extremely confident,Somewhat likely,Very likely,Very likely,Somewhat likely,Always,Extremely difficult,good
164,-97.822,37.751,74055,Owasso,Oklahoma,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2021,"Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_122,-94.2327225,30.1600992,77713,Beaumont,Texas,Moderate,once every 2 years,Moderately well,Somewhat confident,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Sometimes,Somewhat difficult,Nice Survey
164,-97.822,37.751,74055,Owasso,Oklahoma,25 to 34   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,"English ,Spanish ",,2021,"Created an emergency plan with family or household members,Monitored weather reports and flood warnings,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,climate_central,location_10,-84.414844,37.402735,40409,Brodhead,Kentucky,High,every years,Very well,Somewhat confident,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Often,Somewhat difficult,It should be easy to find and easy to read
165,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2022,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_150,-75.7964387,41.3245232,18643,West Pittston,Pennsylvania,Very High,once every 3 years,Very well,Extremely confident,Somewhat unlikely,Very likely,Very likely,Very likely,Always,Somewhat difficult,good
165,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2022,"Secured important documents and valuables,Moved belongings to higher ground,Installed flood barriers or sandbags","Evacuated from the area,Contacted emergency services or authorities","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,google_maps,location_22,-86.292323,36.209312,37087,Lebanon,Tennessee,High,2 years,Very well,Slightly confident,Very likely,Very likely,Very likely,Somewhat likely,Always,Somewhat difficult,good
166,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Female,No,White ,,Master’s degree  ,English ,,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Contacted emergency services or authorities,Moved to a shelter or safe location,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_158,-82.7602179,28.1554439,34689,Tarpon Springs,Florida,Very Low,once every 3 years,Moderately well,Very confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely difficult,GOOD
166,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Female,No,White ,,Master’s degree  ,English ,,2021,"Stocked up on food, water, and emergency supplies,Secured important documents and valuables,Moved belongings to higher ground","Contacted emergency services or authorities,Moved to a shelter or safe location,Used a generator or backup power supply","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,climate_central,location_226,-89.513395,37.317889,63701,Cape Girardeau,Missouri,Very High,nce every 3 years,Very well,Extremely confident,Very likely,Very likely,Very likely,Very likely,Always,Extremely easy,GOOD
167,-97.822,37.751,76132,Fort Worth,Texas,35 to 44   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Secured important documents and valuables,Moved belongings to higher ground,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,historical_images,location_29,-77.89528,34.031137,28428,Carolina Beach,North Carolina,Very High,1,Slightly well,Very confident,Somewhat likely,Neither likely nor unlikely,Very likely,Somewhat likely,Sometimes,Somewhat easy,It's essential that the map reflects recent data and that flood zones are accurately delineated
167,-97.822,37.751,76132,Fort Worth,Texas,35 to 44   ,Male,No,White ,,Bachelor’s degree (4-year college)  ,English ,,2020,"Secured important documents and valuables,Moved belongings to higher ground,Evacuated to a safer location before the flood","Evacuated from the area,Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, personally (e.g., for personal interest or home planning) ",,historical_images,location_59,-122.0624326,48.0153798,98258,Lake Stevens,Washington,Low,2,Very well,Very confident,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Very likely,Sometimes,Neither easy nor difficult,One of the biggest concerns is the lack of effective flood forecasting and early warning systems
168,-97.822,37.751,83714,Boise,Idaho,18 to 24   ,Female,No,"Middle Eastern or Noth African ,White ",,Master’s degree  ,"English ,Spanish ",,2022,"Installed flood barriers or sandbags,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,climate_central,location_102,-90.0701664,30.353864,70448,Mandeville,Louisiana,Moderate,high,Very well,Very confident,Somewhat unlikely,Neither likely nor unlikely,Somewhat unlikely,Somewhat unlikely,Rarely,Somewhat easy,
168,-97.822,37.751,83714,Boise,Idaho,18 to 24   ,Female,No,"Middle Eastern or Noth African ,White ",,Master’s degree  ,"English ,Spanish ",,2022,"Installed flood barriers or sandbags,Evacuated to a safer location before the flood","Contacted emergency services or authorities,Relocated valuables to safer areas","Yes, academically (e.g., as part of a course or research project) ",,climate_central,location_233,-74.056042,40.875858,7601,Hackensack,New Jersey,High,high,Very well,Somewhat confident,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Rarely,Somewhat easy,
169,-97.822,37.751,99502,Anchorage,Alaska,25 to 34   ,Male,No,White ,,Master’s degree  ,English ,,2022,Did not take any action to prepare,"Contacted emergency services or authorities,Moved to a shelter or safe location","Yes, professionally (e.g., in urban planning, environmental science, emergency management)",,fema,location_223,-91.657588,41.960813,52404,Cedar Rapids,Iowa,Very High,1 years,Moderately well,Slightly confident,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Very likely,Always,Extremely difficult,good
